REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
FG72HYJ,,FO,TRANIST 350 L3,,476725,Europcar SUNDERLAND,PALLION WAY,SUNDERLAND,,SUNDERLAND,,SR4 6SN,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
WP23UUN,,FO,TRANSIT CUSTOM LEADER,,476723,Europcar GATESHEAD,OAKWELLGATE,GATESHEAD,,GATESHEAD,,NE8 2AU,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
WN72XJZ,,FO,TRANSIT CUSTOM LEADER,,476721,Europcar STEVENAGE,39 CROMPTON ROAD,STEVENAGE,,STEVENAGE,,SG1 2EE,,+44 130449000,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,44 0 0,,,EU01,
BF23YFE,,IV,35S14 3520L H2,,476716,Europcar LUTON AIRPORT SALE HUB,CAR HIRE CENTRE. BUILDING 250,LUTON AIRPORT PRESIDENT WAY,,LUTON,,LU2 9LY,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
FP73NFL,,FO,TRANSIT CUSTOM LIMITED,,476715,Europcar READING,6-8 COMMERCIAL ROAD,READING,,READING,,RG2 0QZ,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
WN24GKY,,FO,TRANSIT LEADER 350,,476726,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,CROYDON,,LONDON CROYDON SALE HUB,,CR0 4RR,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
WN24GYV,,FO,TRANSIT LEADER 350,,476714,Europcar OXFORD,LITTLEMEAD BUSINESS  PARK,FERRY HINKSEY ROAD,,OXFORD,,OX2 0BY,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
WN24GWX,,FO,TRANSIT LEADER 350,,476720,Europcar LONDON PARK ROYAL SALE HUB,101/103 BRENTFIELD ROAD,PARK ROYAL,,LONDON,,NW10 8LD,,+44 130449000,Coomberland Park,Thurleigh RoadXQDZ01,,THURLEIGH,,44 0 0,,,EU01,
FM21GZV,,TO,PROACE VERSO MY20,,476717,Europcar TRURO CORNWALL,UNIT 2B EDHEN PARK,HARVEY ROAD,,TRURO,,TR12XW,,+44 130449000,BLACKBUSHE AIRPORT,BLACKWATERLONZ95,,CAMBERLEY,,44 01252 878555,,,EU01,
NX73VOY,,MU,DELIVER9 2.0 BASE,,476722,Europcar CARLISLE,CORNER OF JUNCTION ST,NEXT TO DIXON CHIMNEY,,CARLISLE,,CA2 5UG,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
KM24UOL,,MB,SPRINTER 315 PROGRESSIVE,,476719,Europcar WOLVERHAMPTON,133 WILLENHALL ROAD,WOLVERHAMPTON,,WOLVERHAMPTON,,WV1 2HR,,+44 130449000,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN73AOR,,FO,TRANSIT CUSTOM LEADER,,476728,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,CROYDON,,LONDON CROYDON SALE HUB,,CR0 4RR,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
KN21PYX,,CT,BERLINGO PANEL VAN,,476724,Europcar LEEDS SALE HUB,7-13 LOW ROAD,HUNSLET,,LEEDS,,LS10 1QR,,+44 130449000,YEW TREE TRADING EST,KILBUCK LANEWRRZ95,,HAYDOCK,,44 0870 2520406,,,EU01,
GD21PFG,,VW,CR35 PANEL VAN,,476718,Europcar BIRMINGHAM NEWTOWN,1 MILLER STREET,ENTRANCE OFF BRACEBRIDGE,,STREET,,B6 4NF,,+44 130449000,College Road (Behind Esso),Perry BarrBHXZ94,,Birmingham,,44 0121 5169300,,,EU01,
WN72XJT,,FO,TRANSIT CUSTOM LEADER,,476727,Europcar LONDON CROYDON SALE HUB,47 IMPERIAL WAY,CROYDON,,LONDON CROYDON SALE HUB,,CR0 4RR,,+44 130449000,CHARTWELL ROAD,LANCING BUSINESS PARKBSHZ95,,LANCING,,44 01903 851200,,,EU01,
