REG NUMBER,VIN,MAKE,MODEL,COLLECTION DATE,YOUR REF NO,COLLECTION ADDR1,COLLECTION ADDR2,COLLECTION ADDR3,COLLECTION ADDR4,COLLECTION POSTCODE,COLLECTION CONTACT NAME,COLLECTION PHONE,DELIVERY DATE,DELIVERY ADDR1,DELIVERY ADDR2,DELIVERY ADDR3,DELIVERY ADDR4,DELIVERY POSTCODE,DELIVERY CONTACT NAME,DELIVERY CONTACT PHONE,SPECIAL INSTRUCTIONS,PRICE,CUSTOMER REF,TRANSPORT TYPE
DL25BTE,WF0EXXTTRESM60665,,TRANSIT VAN,23/05/2025,DL25BTE,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,Enterprise FLEXE Newcastle,Livingston House,Wellington Road,Dunston Dunston NE11 9JL,NE11 9JL,,,VIN: WF0EXXTTRESM60665,,GR11,
DS25YPD,WF0EXXTTRESM60672,,TRANSIT VAN,23/05/2025,DS25YPD,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,ENTERPRISE FLEX-X-RENT TEESSIDE,ROSS ROAD,STOCKTON ON TEES,TS18 2NN,TS18 2NN,,,VIN: WF0EXXTTRESM60672,,GR11,
DS25WVN,WF0EXXTTRESM60737,,TRANSIT VAN,23/05/2025,DS25WVN,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,23/05/2025,FLEX E RENT - SHEFFIELD,1 LAWRENCE STREET,SHEFFIELD,S9 3RG,S9 3RG,,,VIN: WF0EXXTTRESM60737,,GR11,
DS25YNH,WF0EXXTTRESM60748,,TRANSIT VAN,23/05/2025,DS25YNH,Greenhous Upper Heyford,"Heyford Park, Bicester",Bicester,UPPER HEYFORD,OX25 5HA,,,23/05/2025,FLEX E RENT ELLESMERE PORT,LAKESIDE,SHELLWAY ROAD,ELLESMERE PORT CH65 4LQ,CH65 4LQ,,,VIN: WF0EXXTTRESM60748,,GR11,
DS25YOJ,WF0EXXTTRESM60731,,TRANSIT VAN,23/05/2025,DS25YOJ,Greenhous Upper Heyford,"Heyford Park, Bicester",Bicester,UPPER HEYFORD,OX25 5HA,,,23/05/2025,Flex E Rent Exeter,Grace Rd Central,Marsh Barton,EX2 8QA,EX2 8QA,,,VIN: WF0EXXTTRESM60731,,GR11,
DL25HPC,WF0SXXTA6SSM07942,,TRANSIT CUSTOM,23/05/2025,DL25HPC,Greenhous Upper Heyford,"Heyford Park, Bicester",Bicester,UPPER HEYFORD,OX25 5HA,,,23/05/2025,Flex E Rent Exeter,Grace Rd Central,Marsh Barton,EX2 8QA,EX2 8QA,,,VIN: WF0SXXTA6SSM07942,,GR11,
DS25WVL,WF0EXXTTRESM60749,,TRANSIT VAN,23/05/2025,DS25WVL,Greenhous Upper Heyford,"Heyford Park, Bicester",Bicester,UPPER HEYFORD,OX25 5HA,,,23/05/2025,Flex E Rent Gloucester,38 Ashville Rd,Gloucester,GL2 5DA,GL2 5DA,,,VIN: WF0EXXTTRESM60749,,GR11,
DL25FVJ,WF0EXXTTRESM60733,,TRANSIT VAN, 28/05/2025,DL25FVJ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,Flex E Rent Southampton,18 Premier Way,Abbey Park Industrial Park,Romsey SO51 9DQ,SO51 9DQ,,,VIN: WF0EXXTTRESM60733,,GR11,
DS25YCP,WF0EXXTTRESM60669,,TRANSIT VAN, 28/05/2025,DS25YCP,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,Flexe Rent Nairn,5 Tom Semple Rd,Nairn,IV12 5QW,IV12 5QW,,,VIN: WF0EXXTTRESM60669,,GR11,
DS25WTJ,WF0EXXTTRESM60709,,TRANSIT VAN, 28/05/2025,DS25WTJ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,Flexe Rent,Roudham Court,Roudham Industrial Estate,East Harling Thetford NR16 2QN,NR16 2QN,,,VIN: WF0EXXTTRESM60709,,GR11,
DS25XDB,WF0EXXTTRESM60712,,TRANSIT VAN, 28/05/2025,DS25XDB,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,FLEX-E-RENT DERBY,ASCOT DRIVE,DERBY,DE24 8ST,DE24 8ST,,,VIN: WF0EXXTTRESM60712,,GR11,
DS25XVC,WF0EXXTTRESM66785,,TRANSIT VAN, 28/05/2025,DS25XVC,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,FLEX-E-RENT EAST LONDON,609 London Road,Grays,RM20 3BJ,RM20 3BJ,,,VIN: WF0EXXTTRESM66785,,GR11,
DS25WUA,WF0EXXTTRESM60741,,TRANSIT VAN, 28/05/2025,DS25WUA,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,, 28/05/2025,FLEX-E-RENT HEATHROW,WEST LONDON INDUSTRIAL PARK,IVER LANE,COWLEY UB8 2JG,UB8 2JG,,,VIN: WF0EXXTTRESM60741,,GR11,
DS25XZL,WF0EXXTTRESM66790,,TRANSIT VAN,29/05/2025,DS25XZL,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,29/05/2025,FLEX-E-RENT KENT,ST LAURENCE AVENUE,20/20 INDUSTRIAL ESTATE,MAIDSTONE ME16 0LL,ME16 0LL,,,VIN: WF0EXXTTRESM66790,,GR11,
DS25YOD,WF0EXXTTRESM60677,,TRANSIT VAN,29/05/2025,DS25YOD,Greenhous Upper Heyford,"Heyford Park, Bicester",Bicester,UPPER HEYFORD,OX25 5HA,,,29/05/2025,FLEX-E-RENT OLDBURY,84-90,BRADES ROAD,OLDBURY B69 2EP,B69 2EP,,,VIN: WF0EXXTTRESM60677,,GR11,
DS25WUG,WF0EXXTTRESM60732,,TRANSIT VAN,29/05/2025,DS25WUG,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,29/05/2025,FLEX-E-RENT PETERBOROUGH,IVATT WAY,PETERBOROUGH,PE3 7PG,PE3 7PG,,,VIN: WF0EXXTTRESM60732,,GR11,
DL25BDZ,WF0EXXTTRESM60738,,TRANSIT VAN,29/05/2025,DL25BDZ,Greenhous High Ercall,Greenhous Village Osbaston,High Ercall,,TF6 6RA,,,29/05/2025,FLEX-E-RENT SHREWS,MARCH WAY,BATTLEFIELD ENTERPRISE PARK,Shrewsbury SY1 3JE,SY1 3JE,,,VIN: WF0EXXTTRESM60738,,GR11,
